"dates","reservas.internacionais","divida.liquida","nfsp","juros.de.mora","juros.eua","transacoes.correntes","conta.capital","dolar.diario","ipca","meta.selic","selic.efetiva","pib.var.acum.12.meses","desemprego.pnadc"
2014.48,375570.4,20.75,1.34,0.00842493,0.25,-9801.5,26.8,2.52576,6.56,11.25,11.15,0.52,6.5
2014.47,375277.4,20.75,1.34,0.00842493,0.25,-9801.5,26.8,2.57384,6.56,11.25,11.15,0.52,6.5
2014.46,375043.8,20.75,1.34,0.00842493,0.25,-9801.5,26.8,2.5689,6.56,11.25,11.15,0.52,6.5
2014.45,375122.4,20.75,1.34,0.00842493,0.25,-9801.5,26.8,2.52496,6.56,11.25,11.15,0.52,6.5
2014.44,376964.4,20.75,1.34,0.00842493,0.25,-9801.5,26.8,2.46234,6.56,11.1428571428571,11,0.52,6.5
2014.43,377223.6,20.94,-0.98,0.00950532,0.25,-9305.4,27.3,2.47882,6.59,11,10.9,0.6,6.62
2014.42,377212.2,20.94,-0.98,0.00950532,0.25,-9305.4,27.3,2.42954,6.59,11,10.9,0.6,6.62
2014.41,376165.4,20.94,-0.98,0.00950532,0.25,-9305.4,27.3,2.4045,6.59,11,10.9,0.6,6.62
2014.4,375677.6,20.94,-0.98,0.00950532,0.25,-9305.4,27.3,2.46744,6.59,11,10.9,0.6,6.62
2014.39,376264.2,20.8,4.32,0.00907292,0.25,-8016.3,35.3,2.40722,6.75,11,10.9,0.81,6.77
2014.38,376799.6,20.8,4.32,0.00907292,0.25,-8016.3,35.3,2.3492,6.75,11,10.9,0.81,6.77
2014.37,377318.6,20.8,4.32,0.00907292,0.25,-8016.3,35.3,2.28804,6.75,11,10.9,0.81,6.77
2014.36,378543.4,20.8,4.32,0.00907292,0.25,-8016.3,35.3,2.23952,6.75,11,10.9,0.81,6.77
2014.35,378960.8,21.05,2.46,0.00865982,0.25,-5998.3,25.3,2.26084,6.51,11,10.9,0.56,6.88
2014.34,379184,21.05,2.46,0.00865982,0.25,-5998.3,25.3,2.26184,6.51,11,10.904,0.56,6.88
2014.33,379551.4,21.05,2.46,0.00865982,0.25,-5998.3,25.3,2.27268,6.51,11,10.902,0.56,6.88
2014.32,379285.8,21.05,2.46,0.00865982,0.25,-5998.3,25.3,2.27822,6.51,11,10.9,0.56,6.88
2014.31,377149.6,21.05,2.46,0.00865982,0.25,-5998.3,25.3,2.24616,6.51,11,10.9,0.56,6.88
